"Story","Title","Result","Date","Stability","Duration (s)"
"Upload a File","Upload File","SUCCESS","2021-06-28T19:13:24.3637753-05:00[America/Bogota]","0.0","54.63"
"Practice Text Box","Full text box","FAILURE","2021-06-22T18:56:47.0114726-05:00[America/Bogota]","0.0","20.42"
